file;iterations;time(ns)
./analysis/data/ap100_2.dat;48232;7074500
./analysis/data/ap100_6.dat;48793;7087672
./analysis/data/ap100_1.dat;48164;7323406
./analysis/data/ap100_8.dat;47897;7431025
./analysis/data/ap100_4.dat;48165;8161021
./analysis/data/ap100_10.dat;47751;8267694
./analysis/data/ap100_3.dat;47840;9315934
./analysis/data/ap100_9.dat;48872;8645787
./analysis/data/ap100_5.dat;50458;9475225
./analysis/data/ap100_7.dat;48190;9348300
./analysis/data/ap10_1.dat;160;9431
./analysis/data/ap10_10.dat;160;11008
./analysis/data/ap10_2.dat;175;10790
./analysis/data/ap10_3.dat;146;12320
./analysis/data/ap10_4.dat;135;8752
./analysis/data/ap10_5.dat;157;12636
./analysis/data/ap10_6.dat;169;10346
./analysis/data/ap10_7.dat;152;8944
./analysis/data/ap10_8.dat;136;9342
./analysis/data/ap10_9.dat;184;9396
./analysis/data/ap200_1.dat;215584;56144538
./analysis/data/ap200_5.dat;212563;58757823
./analysis/data/ap200_4.dat;215465;59310453
./analysis/data/ap200_7.dat;210775;60356841
./analysis/data/ap200_10.dat;222965;62698857
./analysis/data/ap200_6.dat;219643;62907847
./analysis/data/ap200_8.dat;217845;62719195
./analysis/data/ap200_2.dat;214727;63207380
./analysis/data/ap200_3.dat;215929;63675769
./analysis/data/ap200_9.dat;216718;63363245
./analysis/data/ap20_1.dat;1024;70292
./analysis/data/ap20_10.dat;1111;71578
./analysis/data/ap20_2.dat;988;92827
./analysis/data/ap20_3.dat;1031;102869
./analysis/data/ap20_4.dat;992;96834
./analysis/data/ap20_5.dat;1015;87549
./analysis/data/ap20_8.dat;1015;56156
./analysis/data/ap20_6.dat;984;102288
./analysis/data/ap20_7.dat;958;90810
./analysis/data/ap20_9.dat;933;54448
./analysis/data/ap50_10.dat;8295;1154936
./analysis/data/ap50_1.dat;8484;1178065
./analysis/data/ap50_3.dat;8570;1184626
./analysis/data/ap50_2.dat;9165;1203698
./analysis/data/ap50_4.dat;9020;1317560
./analysis/data/ap50_5.dat;8861;1378709
./analysis/data/ap50_6.dat;8605;1245091
./analysis/data/ap500_1.dat;1842138;399565953
./analysis/data/ap500_2.dat;1833694;400515253
./analysis/data/ap500_3.dat;1800133;401699302
./analysis/data/gen_graph_10_100.dat;129;16223
./analysis/data/gen_graph_16_256.dat;551;54743
./analysis/data/gen_graph_20_400.dat;950;108112
./analysis/data/ap50_7.dat;8991;957212
./analysis/data/ap50_9.dat;8568;1206248
./analysis/data/ap50_8.dat;9145;1250968
./analysis/data/gen_graph_100_10000.dat;46883;6823458
./analysis/data/gen_graph_128_16384.dat;88007;9931279
./analysis/data/gen_graph_192_36864.dat;198993;28364889
./analysis/data/gen_graph_200_40000.dat;215046;29077467
./analysis/data/gen_graph_24_576.dat;1621;145435
./analysis/data/test.dat;4;1308
./analysis/data/gen_graph_32_1024.dat;3298;354197
./analysis/data/gen_graph_48_2304.dat;7794;795997
./analysis/data/gen_graph_50_2500.dat;9203;884985
./analysis/data/gen_graph_64_4096.dat;14873;2105122
./analysis/data/gen_graph_96_9216.dat;42770;4972897
./analysis/data/gen_graph_256_65536.dat;372902;59333386
./analysis/data/gen_graph_500_250000.dat;1803092;360165558
